お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,1位,ミズイチ,つまり、この桃は完全な密室だったわけです,43,100.83,低血圧/野良猫のトム(2)/カタン/テイクあくる日/カーテンは夜ひらく/きゅーきゅー/danes-sakano/健やか本社(3)/秋月杏子/ベモペギ/やや不安/きまぐれ/カナリカリガ・タカ/そろばん６級/江口 蒼🎧/猫屋敷/ガ行/椎茸キング/TOEIC5点(2)/随契/ナス十郎/はっぴーアワー/ようちスポロン/xos(2)/パーくん/さっつん/駄菓子菓子/Longab/ばしろうまる/渡利　巣手呂/井戸で寝る/かおりゅ/j僧侶brothers/アーマーナイトハブザガン/いちご/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,2位,おだンゴ,どっどど　どどうど　どんぶら　どどう,27,74.49,カタン/あずま(3)/きゅーきゅー/フェルメール(2)/秋月杏子/タージ生春巻き(2)/さらえん/そろばん６級/たくめ/ガ行/げんき/MODY/随契(2)/サメVS巨大タコス/ナス十郎/最後の在校生/井戸で寝る/かおりゅ/アーマーナイトハブザガン/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,3位,鳴子レプシー,桃太郎と犬、2人の絆が起こすキセキ────この夏は桃泣き。,25,71.19,野良猫のトム/カタン/猫皮ニャン志/えび/僭越/げんき/TOEIC5点/baseball /はっぴーアワー/ようちスポロン/さっつん/チアキ/駄菓子菓子/Longab/固定残業代/たこかいな/井戸で寝る(2)/ノコノコdeath/わんこそば/まり/電気羊/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,4位,パステルゆんゆん,したら鬼ブワァ〜来てぇ,24,69.55,カタン/あずま/健やか本社/タージ生春巻き(2)/僭越/やまもん/犬ヒロシ/げんき/TOEIC5点/白黒まみれ/ようちスポロン/たなとす/支援魔/Longab(2)/井戸で寝る(3)/そいそーす(2)/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,5位,たこかいな,鬼を斬ったはずの場所に爺さんが倒れている,23,67.9,野良猫のトム(3)/猫皮ニャン志/きゅーきゅー/健やか本社/ベモペギ/そろばん６級/猫屋敷/随契(2)/baseball /ギトウ/パーくん/ばしろうまる(2)/ほにゃらら(2)/おだンゴ/まり/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,6位,T-FOX,一方そのころ月基地では,21,64.61,低血圧/猫皮ニャン志/カーテンは夜ひらく/きゅーきゅー/フェルメール(2)/ベモペギ/イタリア長介/僭越(2)/ガ行/犬ヒロシ/baseball /ばっは/世間体/さっつん/ずずエさん/おだンゴ/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,6位,カーテンは夜ひらく,鬼たちが権利を主張しています,21,64.61,カタン(2)/danes-sakano/秋月杏子/ベモペギ/きまぐれ/えび/TOEIC5点/ばっは/ギトウ/支援魔/Longab/アメリコ/そいそーす(3)/伊勢八/BBG/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,8位,さっつん,都会の共学に転校させられる,20,62.96,冷食パスタレビュー/ワトゥー/きゅーきゅー(2)/ミズイチ/やや不安/レオレオ/ガ行/MODY/パーくん/最後の在校生/ずずエさん/渡利　巣手呂/アメリコ/たこかいな/BBG/さすけのお兄/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,8位,みやまる,キジの恋愛は無かったことになった,20,62.96,ベモペギ/さらえん/きまぐれ/カナリカリガ・タカ/たくめ/セトピア/baseball /白黒まみれ/ギトウ/さっつん/Longab/渡利　巣手呂/たこかいな(2)/mayu/BBG/さすけのお兄/猫ガンプ/まり/鳴子レプシー
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,8位,テイクあくる日,動物の美女化が止まらない,20,62.96,ワトゥー(2)/猫皮ニャン志/桜桃(2)/danes-sakano(2)/T-FOX/弐四八/こねぎ/はっぴーアワー/ギトウ/さっつん/ずずエさん/かおりゅ/パステルゆんゆん/BBG/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,8位,レオレオ,2年後に‼︎! 鬼ヶ島で‼︎!（ﾄﾞﾝ‼︎）,20,62.96,ベモペギ/T-FOX/僭越/こねぎ/やまもん(3)/MODY/セトピア/ナス十郎/はっぴーアワー/xos/最後の在校生/チアキ/駄菓子菓子/アーマーナイトハブザガン/パステルゆんゆん/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,12位,MODY,小倉優子が「どんぶらりんこ」と書いてる,19,61.31,フェルメール/danes-sakano/弐四八/たくめ(2)/ガ行/随契/白黒まみれ/たなとす/ずずエさん/固定残業代/ほにゃらら/桃山ももたろう(2)/猫ガンプ/探偵Ｏ/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,13位,そろばん６級,"
おばあさんはYAMADAへ洗濯機を買いに",18,59.67,フェルメール(2)/江口 蒼🎧/えび/犬ヒロシ/ばっは/ギトウ/最後の在校生/駄菓子菓子/j僧侶brothers/アーマーナイトハブザガン/mayu(2)/いちご/さすけのお兄/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,13位,猫ガンプ,猿が窓の外見ながら「止みそうに無いな」と呟く,18,59.67,猫皮ニャン志/カーテンは夜ひらく/健やか本社/さらえん/やや不安(2)/そろばん６級/たくめ/随契/サメVS巨大タコス/ナス十郎/ウラニワ/白黒まみれ/xos/Longab/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,15位,きゅーきゅー,道中で結婚して嫁が桃生んだ,17,58.02,低血圧/カーテンは夜ひらく/桜桃(2)/レオレオ/そろばん６級/江口 蒼🎧/たくめ/ガ行/baseball /ウラニワ/チアキ/ノコノコdeath/まり/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,15位,そいそーす,急に4コマで終わった,17,58.02,野良猫のトム/桜桃/そろばん６級/げんき/MODY/サメVS巨大タコス/せいちゃん/たこかいな(2)/おだンゴ/いちご/さすけのお兄/まり/探偵Ｏ/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,15位,ガ行,巨大な桃、そして謎の黒い球体,17,58.02,カタン(2)/猫皮ニャン志/ベモペギ/レオレオ/椎茸キング/ナス十郎/支援魔/パーくん/チアキ/j僧侶brothers/アーマーナイトハブザガン(2)/電気羊/投票ボーナス(3)
0774_6866_TQZ,2023-08-27,94人,途中から作者が変わった桃太郎のあらすじ,NA,18位,BBG,俺の心が鬼だったんだと気づく,16,56.37,テイクあくる日/フェルメール/きまぐれ/江口 蒼🎧/ガ行/やまもん/MODY/ようちスポロン/ギトウ/ずずエさん/おだンゴ/さすけのお兄/わんこそば/投票ボーナス(3)
