ID,prompt,image,answer,answer_type,reordered_answer_type,novelty,clarity,relevance,intelligence,empathy,funniness,novelty_GPT4.1,clarity_GPT4.1,relevance_GPT4.1,intelligence_GPT4.1,empathy_GPT4.1,funniness_GPT4.1,novelty_Gemini2.5_pro,clarity_Gemini2.5_pro,relevance_Gemini2.5_pro,intelligence_Gemini2.5_pro,empathy_Gemini2.5_pro,funniness_Gemini2.5_pro,novelty_ClaudeSonnet4,clarity_ClaudeSonnet4,relevance_ClaudeSonnet4,intelligence_ClaudeSonnet4,empathy_ClaudeSonnet4,funniness_ClaudeSonnet4,dataset,prompt_type
5629952,鬼滅の刃に  いそうでいないキャラクター,,美空ひばり,Human_mid_tier,Human_lower_tier,2.25,2.5,2.0,1.0,1.25,1.0,2,4,2,2,2,2,3,4,4,2,3,3,3,4,2,2,3,3,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,メインヒロイン,Human_lower_tier,Human_mid_tier,2.0,1.75,2.75,2.25,2.0,1.75,2,4,4,2,3,2,3,4,4,3,4,4,3,4,4,3,3,3,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,椿鬼奴,Human_top_tier,Human_top_tier,3.25,4.0,3.0,1.75,3.0,3.0,2,4,2,1,2,2,2,4,4,0,4,4,3,4,3,2,3,3,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,すみませんトイレどこですか？,unrelated,unrelated,2.5,0.25,0.25,0.25,0.0,0.0,4,4,2,1,3,3,4,4,4,1,4,4,3,4,4,2,4,3,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,「全集中！スマホの呼吸　一の型　既読スルー！」,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,1.75,2.75,3.0,1.25,2.25,1.0,3,4,4,2,4,3,2,4,4,0,4,4,3,4,4,2,3,3,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,医療技術に特化した隊士で、戦闘はほとんど行わず、負傷者の治療や薬剤開発を専門とする人物。,GPT4.1_serious,GPT4.1_serious,0.75,2.0,2.5,1.25,1.25,0.75,3,4,4,3,3,2,2,4,4,2,4,3,2,4,4,2,3,2,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,無限ガチャ鬼：課金しないと次の技が使えない,GPT4.1_oogiri,GPT4.1_oogiri,2.5,2.0,2.75,0.5,0.5,1.5,4,4,4,2,3,4,4,4,4,3,4,4,3,4,4,2,3,3,OG,text
5629952,鬼滅の刃に  いそうでいないキャラクター,,鬼の頸を斬るより、隊士の経費申請の不備を斬る方が得意な、鬼殺隊の経理柱。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.0,2.25,2.25,1.75,1.75,1.25,4,4,4,3,3,4,3,4,4,2,4,4,3,4,4,3,3,3,OG,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,マスコットキャラがバクテリアン(ドラゴンボール),Human_lower_tier,Human_lower_tier,1.75,1.75,3.5,1.25,1.25,0.75,3,3,3,2,2,3,3,2,4,2,2,3,3,2,3,2,2,2,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,「でもおいしい」に頼りすぎている,Human_top_tier,Human_mid_tier,2.25,2.0,2.25,2.0,2.0,1.5,3,4,4,3,3,3,4,4,4,3,4,4,3,4,4,3,3,3,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,にんにく200個分以下の身長だと乗り物に乗れないらしいが、自分で判断がつかない,Human_mid_tier,Human_top_tier,3.5,3.25,3.25,2.5,3.0,2.25,3,4,4,2,3,3,3,4,4,1,2,3,4,4,4,3,3,4,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,一貫って数え方すこ,unrelated,unrelated,3.5,0.0,0.25,0.75,0.25,0.0,3,1,1,1,1,2,4,2,3,1,0,4,3,2,3,2,2,2,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,絶叫マシンに乗ると涙が止まらなくなる,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,2.25,1.25,2.0,1.25,0.75,0.75,3,4,4,2,2,3,3,4,4,2,4,3,3,4,4,2,3,3,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,絶叫マシンに乗ると、口に丸ごとニンニクを放り込まれる。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.25,4.0,4.0,1.75,3.0,2.0,3,4,4,1,2,3,3,4,4,0,4,3,3,4,4,2,3,3,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,従業員の半数が昼過ぎに吸血鬼ハンターに連れていかれた。,GPT4.1_serious,GPT4.1_serious,2.5,2.75,3.5,2.25,2.25,1.5,4,4,4,3,2,4,2,4,4,0,1,3,4,4,4,3,3,4,Ours,text
0785_6951_FOU,ニンニクがテーマの遊園地　「臭い」以外で良くなかったところ,,アトラクションの待ち時間に、どんどん元気になって帰りたくなくなる。,GPT4.1_oogiri,GPT4.1_oogiri,1.75,3.0,3.5,2.0,2.75,1.75,3,4,4,2,3,3,4,4,4,2,2,3,4,4,4,3,3,4,Ours,text
