お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,1位,シコウサクゴロー,チャージ不足で通れなくなってる,33,79.97,かぼちゃのばしゃ/インドスカイ/watoson/ベリー/餃子味のラーメン/机上で実演/ナルシマアンバイ/つきかかか(2)/男も育休/ななし/水戸/smw/土編に花でゴミと読む/こんぺいとう雑誌/やんわり/寿司ブルドーザー/ラジウス/はげダッ通/ラスター(2)/かくれどり/なまこP/珍百景のクロ/パーくん/直ちに下校する/倹飩箱/哲学ミミズ/てっぺんざしお/こねぎ/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,1位,倹飩箱,露天風呂に行く途中の「うほー寒い寒いっ」の小走り,33,79.97,あぶら・じょん/さくらんぼソフト/watoson/おかしい/餃子味のラーメン/ナルシマアンバイ/ししだ/水戸/smw(2)/土編に花でゴミと読む/げんき/透人-とをるんちゅ-(3)/するめ大夫/ラスター(2)/鳴子レプシー/なまこP/しゅうしゅう/珍百景のクロ/MM(2)/こねぎ/john(2)/アナゴさん(3)/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,3位,ななし,オルゴールバージョンだった,32,78.49,かぼちゃのばしゃ(2)/インドスカイ/ガッボデ/ベリー/ナルシマアンバイ/ぷう３/しらふじらふ/オレは牛乳ミルクラテ(2)/近視性乱視/9月が終わったら起こして/水戸/素犬/げんき/Y-Not/やんわり/鮒侍/寿司ブルドーザー/ラジウス(2)/ラスター/なまこP(2)/しゅうしゅう(2)/きみをゆるさない。/こねぎ/john/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,4位,素犬,トレー持ってキョロキョロしながら,31,77.02,バン🌿(3)/Haruru(2)/ベリー/半丙太/ナルシマアンバイ/つきかかか/双葉柿浦六番線/ししだ(2)/近視性乱視/水戸/生身/透人-とをるんちゅ-/Y-Not/やんわり/寿司ブルドーザー/シコウサクゴロー(2)/はげダッ通/鳴子レプシー(2)/なまこP/倹飩箱/椎田/てっぺんざしお/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,5位,親子丼ら〜めん,手にレスラーと書いて飲む,28,72.61,あぶら・じょん/MODY/watoson/ウル表/気球マイスター/ベリー/半丙太/餃子味のラーメン/少しだけ賢い/スキャンダル/大山ひろのり/机上で実演/ナルシマアンバイ/男も育休/オレは牛乳ミルクラテ/井上ヘノシタ(2)/げんき(2)/こんぺいとう雑誌/寿司ブルドーザー/ラジウス/桜桃/俺/鳴子レプシー/パーくん/こねぎ/アナゴさん
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,6位,架空の島田,女子に「居たんだ」って言われて入場に気づく,26,69.66,すりおろしプリン/のとさわ/いちご/ウル表/ねこのきむち/餃子味のラーメン/少しだけ賢い/ほのぼの乳首/しらふじらふ/男も育休/井上ヘノシタ(2)/smw/電車を止める少女/素犬/はげダッ通/なまこP/ネクストン(3)/直ちに下校する/MM/アナゴさん/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,6位,高見盛,同じコーナーから出ちゃって会釈してる,26,69.66,MODY/いちご/せりか/ねこのきむち/ほのぼの乳首/ななし/井上ヘノシタ(3)/土編に花でゴミと読む/Y-Not/やんわり/鮒侍/シコウサクゴロー/なまこP(2)/横恋慕の君/MM/哲学ミミズ(2)/きなこもち/john(2)/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,8位,井上ヘノシタ,雄叫びを聞き返された,25,68.19,バン🌿(2)/のとさわ/ガッボデ/Haruru/高見盛/ほのぼの乳首/ぷう３/ななし/生身/電車を止める少女/素犬/透人-とをるんちゅ-/Y-Not/えーす/鳴子レプシー/てねんすい/哲学ミミズ/やぐむ/きなこもち(2)/john/投票ボーナス(3)
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,9位,DAKARA,蹴られて出てくる,22,63.78,バン🌿/すりおろしプリン(3)/watoson/ガッボデ/せりか/Haruru(2)/高見盛/気球マイスター/少しだけ賢い/双葉柿浦六番線/近視性乱視/水戸/生身/業務用虚無/えーす/かくれどり/なまこP/しゅうしゅう/椎田
0669_8158_DDG,2023-07-05,104人,プロレスラーのダサすぎる入場シーン,NA,9位,watoson,なんか一周しちゃった,22,63.78,ガッボデ/Haruru/D-6/ウル表/おかしい/ベリー/双葉柿浦六番線/ななし/9月が終わったら起こして/げんき/えーす/かくれどり/なまこP/てねんすい/架空の島田/パーくん/哲学ミミズ/きなこもち/john/投票ボーナス(3)
