お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,1位,りす,進研ゼミでも寝たとこだ,36,86.4,業務用虚無(3)/ひとしおのよろこび/すりおろしプリン(2)/せせらぎ/ハルマレ/おきよ/さらえん(2)/細(2)/あい/短歌/寺井(2)/ラスター(2)/サンプリ/ななめ(2)/ニア・ディゾン/国産/さんれん/シンマイ子/kakky/ますこだばが/屋内用雨傘/ノコノコdeath/いわな/シコウサクゴロー(2)/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,2位,シンマイ子,待って いま出力してるから,29,75.81,業務用虚無/ひっそりおにぎり/ひとしおのよろこび/いちご/せせらぎ/おきよ/やる/細/じゃがりこ救助隊/あい/ヨッすぃ〜/江口 蒼🎧/むらさき/人民元/ラスター/循環器/ほろほろ/さんれん/fukuinneet/餃子味のラーメン/いわな/ヤンマー部隊隊長/大喜利の母/二階から手続き/899/するめ/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,2位,住まなくても都,そんな訳ない分数になった,29,75.81,にふだうぐも/りす/EPOCALC/ハルマレ/終電卍(2)/やる/細/Sota(2)/寺井/morisho/むらさき/ミズイチ(2)/国産(2)/アーマーナイトハブザガン/ほろほろ/シンマイ子/fukuinneet/ヤバいマイケル屋さん/ヤンマー部隊隊長/大喜利の母/カレーラ水/899/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,4位,ひとしおのよろこび,没入感が違うわ,28,74.3,辰巳竜/業務用虚無/nada(2)/すりおろしプリン(2)/やる/細/月見里/じゃがりこ救助隊/Chunbeam/住まなくても都/なぐ/MF式角砂糖/デス・サップ/ニア・ディゾン/国産/やや不安/ザワⅡ/屋内用雨傘/コウ門科/鹿野バンビ/ヤバいマイケル屋さん/二階から手続き/シコウサクゴロー/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,5位,ヨッすぃ〜,もう直で覚えるか,27,72.79,りす/辰巳竜/れあ/ハルマレ(2)/テツ/細/寺井/morisho/憶霜論/ラスター/なぐ/シンマイ子/fukuinneet(2)/やや不安/kakky/餃子味のラーメン/はさまり/shu/鹿野バンビ/ヤバいマイケル屋さん/いわな/するめ/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,5位,二階から手続き,さすがに話しかけてくれるだろ,27,72.79,れあ/業務用虚無/ほとけ(2)/Sota(3)/ところ天のすけ/ヨッすぃ〜/自惚れヌーヴォー/憶霜論/住まなくても都/ミズイチ/ニア・ディゾン/アーマーナイトハブザガン/ほろほろ/kakky(2)/ザワⅡ/屋内用雨傘/餃子味のラーメン/はさまり/ポジ/shu/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,7位,ハルマレ,「楽しかった」以外あるかよ,24,68.25,業務用虚無/さらえん/細/Sota/ヨッすぃ〜/寺井(2)/憶霜論/江口 蒼🎧/ラスター/ぼんぼら/アーマーナイトハブザガン(2)/ほろほろ/シンマイ子/やや不安/はさまり/shu/ヤバいマイケル屋さん/ヤンマー部隊隊長/大喜利の母/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,8位,餃子味のラーメン,このページとするキスが1番良い,23,66.74,りす/辰巳竜/所々ジョージ/業務用虚無(2)/ひとしおのよろこび/セトピア/じゃがりこ救助隊/短歌/憶霜論/むらさき/人民元/デス・サップ/ニア・ディゾン/国産/さんれん/屋内用雨傘/shu/コオロギの頭文字/大喜利の母/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,9位,所々ジョージ,どうせ家継ぐからいいか,22,65.23,ひとしおのよろこび/nada/ハルマレ/テツ/やる/ヨッすぃ〜/住まなくても都/ラスター(3)/ニア・ディゾン/国産/アーマーナイトハブザガン(2)/さんれん/シンマイ子/やや不安/たいや/カレーラ水/投票ボーナス(3)
3743_6870_KMT,2023-07-08,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3743_6870_KMT.jpeg,10位,なぐ,次はこのページ覚えるぞ,21,63.71,にふだうぐも/りす/れあ/所々ジョージ/業務用虚無/ひっそりおにぎり/nada/せせらぎ/テツ/むらさき/人民元(2)/ラスター/MF式角砂糖/ミズイチ/つゆだQ/ヤンマー部隊隊長/二階から手続き/投票ボーナス(3)
