お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,1位,両者うつ伏せ,ハムスターの獣の部分が見れる,35,90.31,Bランク(3)/shiganhei/白犬/T-FOX/やちん/ことぶき/ニア・ディゾン/デニール・ルーズ・ルール(3)/過疎バス(2)/山口/高崎線直通(2)/内田有紀(美人)/碓井/kubodi/よれよれ(2)/超ピンク/業務用虚無(2)/ド天体/黒胡麻/ホルシュタイン(2)/rrryo/サルのものまね/田多夫/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,2位,マカマカエキス,このために立たない奴もいる,26,74.72,shiganhei/たくみす/T-FOX/さめかす/冷食パスタレビュー/山口/絶命/業務用虚無/ド天体/コックカワサキ(2)/新古今パパ2(3)/黒胡麻/もこもこねこちゃん/小迷子/クロレラサイダー/あぐにん(3)/しばとも/田多夫/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,3位,よれよれ,意外と日本代表も頑張っている,25,72.99,両者うつ伏せ/マヨご飯(2)/ヘルシー帝/ふさふさマカオ/目につく男/skyhi/ド天体/もこもこねこちゃん/マカマカエキス(2)/あぐにん(2)/底なしボイン(3)/altcolt(3)/pokka/しばとも/rrryo/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,4位,新古今パパ2,靴屋が儲かる,23,69.53,Bランク(3)/shiganhei/白犬/両者うつ伏せ/ことぶき/prpp/内田有紀(美人)/碓井/アンサイン(2)/シーク朝ー/黒胡麻/マカマカエキス(2)/Sasakanana/クロレラサイダー/あまみ/しばとも/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,5位,あぐにん,ペガサスがズルすぎる,22,67.8,支援魔/高崎線直通(2)/目につく男/弐四八/商店(3)/カクレミノムシ/業務用虚無(2)/ふぐちゃん(2)/ナギ/Sasakanana/野津(3)/もるぺちda/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,5位,ふぐちゃん,ハムスターが出てくるとみんな優しくなる,22,67.8,T-FOX/たまごニキ/やちん/マヨご飯(2)/ことぶき/含有量/目につく男/てんまる/ピャニッチ/双葉柿浦六番線/カクレミノムシ/業務用虚無(3)/黒胡麻/もこもこねこちゃん/あまみ/rrryo/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,7位,しばとも,後にそれは競馬となった,18,60.87,ことぶき/prpp/激エロ海苔bot/アンサイン/よれよれ/シーク朝ー(2)/拙者はチヌーク(3)/ナギ/ぎゃら/ちゃーはん(2)/サルのものまね/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,7位,もるぺちda,近道する猫がうらやましい,18,60.87,白犬/ヘルシー帝/激エロ海苔bot/目につく男/ピャニッチ(2)/ジョージ真壁/業務用虚無/小迷子/Sasakanana/底なしボイン(3)/pokka/rrryo/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,7位,エクスタC,四輪にした奴が勝った,18,60.87,メガネザル/両者うつ伏せ/ヘルシー帝/デニール・ルーズ・ルール(3)/のとさわ/激エロ海苔bot/絶命/碓井/業務用虚無/あまみ(2)/続きを読む/田多夫/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,7位,ヘルシー帝,人間はパラリンピックに出れる,18,60.87,愛・御中/Bランク(3)/両者うつ伏せ/Hetappi/高崎線直通(2)/業務用虚無/ド天体(3)/コックカワサキ(3)/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,7位,内田有紀(美人),いわゆるツイスターゲームですな,18,60.87,愛・御中/支援魔/のとさわ/ケ/絶命(2)/アンサイン/双葉柿浦六番線/コックカワサキ(3)/小迷子/マカマカエキス/あまみ(2)/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,12位,kubodi,自動車が優勝した,17,59.14,たまごニキ(3)/さめかす/高崎線直通(2)/絶命/カクレミノムシ(2)/業務用虚無/新古今パパ2(2)/白黒まみれ/田多夫/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,12位,もこもこねこちゃん,4本になるように脚を切り落とされた「脱法ゲジ」が物議を醸す,17,59.14,両者うつ伏せ/含有量/山口/てんまる/skyhi/よれよれ/業務用虚無(2)/ド天体/野津(3)/pokka/ちゃーはん/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,12位,ホルシュタイン,落語の演目になっている,17,59.14,prpp/山口/内田有紀(美人)/ピャニッチ/あえて金玉/超ピンク/新古今パパ2/マカマカエキス/Sasakanana(2)/pokka/しばとも/田多夫(2)/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,12位,山口,試合に興奮した織田裕二が四つん這いになって駆け出す,17,59.14,メガネザル/両者うつ伏せ/やちん/kubodi/双葉柿浦六番線/ジョージ真壁/ホルシュタイン(2)/もこもこねこちゃん/クロレラサイダー(2)/白黒まみれ(3)/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,16位,弐四八,「2本じゃダメなんですか」と毎回、蓮舫が参加しようとして落選してる,16,57.4,白犬/マヨご飯(2)/のとさわ/シーク朝ー(3)/双葉柿浦六番線/カクレミノムシ/拙者はチヌーク(2)/もこもこねこちゃん/Sasakanana/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,16位,白犬,娘が立ってしまい、退場する姿をホームビデオに残す,16,57.4,愛・御中/両者うつ伏せ/やちん/ヘルシー帝/prpp/のとさわ/碓井/kubodi/ピャニッチ(2)/双葉柿浦六番線/超ピンク/ナギ/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,18位,アンサイン,四本足か判定する学者がいる,15,55.67,ことぶき/Hetappi/デニール・ルーズ・ルール/ケ/業務用虚無/ド天体/ホルシュタイン/クロレラサイダー/底なしボイン(3)/白黒まみれ/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,18位,カクレミノムシ,馬だけで楽しんでいたのに、シマウマがキリンを誘ってからワーキャーが増えた,15,55.67,メガネザル(2)/白犬/両者うつ伏せ/やちん/シーク朝ー(2)/ジョージ真壁/拙者はチヌーク/ふぐちゃん(2)/もるぺちda/投票ボーナス(3)
2369_9890_PBI,2023-12-12,79人,四本足の動物なら何でも参加できる競技「競獣」について教えてください,NA,20位,mktypo,四足自認が参加して物議を醸した,14,53.94,愛・御中/支援魔/含有量/過疎バス/てんまる/弐四八/商店(2)/業務用虚無(2)/もこもこねこちゃん/底なしボイン(3)
